field1,field2,field3,field4,field5,_GC_TYPE,_X,_Y
강원도,춘천시,충열로 142번길 24-16,강원도 춘천시 충열로 142번길 24-16,강원도 재활병원,정,127.74118179360951,37.90367460276955
강원도,강릉시,경강로 2007(남문동 164-1),강원도 강릉시 경강로 2007(남문동 164-1),강원도 강릉의료원,정,128.88926157593534,37.74908720442431
강원도,삼척시,오십천로 418,강원도 삼척시 오십천로 418,강원도 삼척의료원,정,129.16314308608315,37.439963393784986
강원도,원주시,서원대로 387(개운동),강원도 원주시 서원대로 387(개운동),강원도 원주의료원,정,127.94920274301674,37.33305620421549
강원도,속초시,영랑호반길 3,강원도 속초시 영랑호반길 3,강원도 속초의료원,정,128.5879188173883,38.21606334107183
강원도,춘천시,세실로 252,강원도 춘천시 세실로 252,춘천시 노인전문병원,정,127.75636438302567,37.88017705441464
강원도,영월군,영월읍 중앙1로 59,강원도 영월군 영월읍 중앙1로 59,강원도 영월의료원,정,128.4652327405729,37.18676929343661
강원도,강릉시,경강로 2007,강원도 강릉시 경강로 2007,강원도립강릉요양병원,정,128.88926157593534,37.74908720442431
강원도,정선군,사북읍 지장천로 727,강원도 정선군 사북읍 지장천로 727,정선군립병원,정,128.8263457319836,37.22617810142561
경기도,이천시,경충대로 2742,경기도 이천시 경충대로 2742,경기도의료원 이천병원,정,127.43261278412902,37.2829419550332
경기도,안성시,고수2로 17번지(당왕동),경기도 안성시 고수2로 17번지(당왕동),경기도의료원 안성병원,정,127.25788476570493,37.015165432971216
경기도,수원시,장안구 수성로 245번길 69,경기도 수원시 장안구 수성로 245번길 69,경기도의료원 수원병원,정,126.99683399195018,37.29235056019484
경기도,파주시,중앙로 207(금촌동),경기도 파주시 중앙로 207(금촌동),경기도의료원 파주병원,정,126.77963545842401,37.75487956287655
경기도,포천시,포천로 1648(신읍동),경기도 포천시 포천로 1648(신읍동),경기도의료원 포천병원,정,127.19844993726652,37.90326413301618
경기도,평택시,삼남로 312(도일동),경기도 평택시 삼남로 312(도일동),경기도노인전문 평택병원,정,127.09743039965404,37.0539896796532
경기도,용인시,기흥구 중부대로 940,경기도 용인시 기흥구 중부대로 940,경기도노인전문 용인병원,정,127.15453014837489,37.25103698574395
경기도,의정부시,흥선로 142 (의정부동),경기도 의정부시 흥선로 142 (의정부동),경기도의료원 의정부병원,정,127.04243221246831,37.74093529235762
경기도,여주시,북내면 도예로 361-14,경기도 여주시 북내면 도예로 361-14,경기도노인전문여주병원,정,127.66916966545699,37.32500844115604
경기도,시흥시,하중로 285,경기도 시흥시 하중로 285,경기도노인전문 시흥병원,정,126.80709817634381,37.38628129427746
경기도,동두천시,탑신로 536,경기도 동두천시 탑신로 536,경기도노인전문 동두천병원,정,127.13602806389103,37.9008344097053
경기도,남양주시,수동면 외방로 172번길32,경기도 남양주시 수동면 외방로 172번길32,경기도노인전문 남양주병원,정,127.30793429092653,37.73769567088884
경상남도,통영시,도산면 남해안대로1818,경상남도 통영시 도산면 남해안대로1818,경상남도립 통영노인전문병원,정,128.35959881793704,34.91297037295965
경기도,부천시,까치로 26,경기도 부천시 까치로 26,부천시립 노인전문병원,정,126.80837644699986,37.509179842403306
경상남도,사천시,축동면 서삼로1110-35,경상남도 사천시 축동면 서삼로1110-35,경상남도립 사천노인전문병원,정,128.04481044695675,35.09266360943966
경기도,용인시,기흥구 중부대로 940,경기도 용인시 기흥구 중부대로 940,경기도립정신병원,정,127.15453014837489,37.25103698574395
경상남도,사천시,축동면 서삼로 1110-35,경상남도 사천시 축동면 서삼로 1110-35,경상남도립정신병원,정,128.04481044695675,35.09266360943966
경상남도,김해시,김해대로 1814-39(삼계동),경상남도 김해시 김해대로 1814-39(삼계동),경상남도립 김해노인전문병원,정,128.86100408061728,35.261622710286254
경기도,안산시,상록구 차돌배기로 24,경기도 안산시 상록구 차돌배기로 24,안산시립 노인전문병원,정,126.84613635522855,37.29967233902314
경상남도,거창군,거창읍 운정3길 180,경상남도 거창군 거창읍 운정3길 180,거창군립 노인요양병원,정,127.89083439755959,35.675964643035805
경상남도,양산시,상북면 양산대로 1870-64,경상남도 양산시 상북면 양산대로 1870-64,경상남도립 양산노인전문병원,정,129.06962288718108,35.42906714530841
경상남도,창원시,의창구 북면 단내로 499-32,경상남도 창원시 의창구 북면 단내로 499-32,시립창원 요양병원,정,128.57429909644216,35.349353135348636
경상남도,의령군,부림면 대한로 1655,경상남도 의령군 부림면 대한로 1655,의령군립노인전문병원,정,128.31343457433522,35.464571273840505
경상북도,김천시,모암길 24(모암동),경상북도 김천시 모암길 24(모암동),경상북도 김천의료원,정,128.1265918643238,36.122518236625766
경상남도,창원시,마산합포구 현동로 15,경상남도 창원시 마산합포구 현동로 15,시립마산 요양병원,정,128.55187113647253,35.15402642327704
경상북도,포항시,북구 용흥로 36,경상북도 포항시 북구 용흥로 36,경상북도 포항의료원,정,129.3545665756366,36.03516548686979
경상북도,울진군,울진읍 현내항길 71,경상북도 울진군 울진읍 현내항길 71,울진군의료원,정,129.41016402833444,36.99216042895842
경상남도,창원시,마산합포구3.15대로 231,경상남도 창원시 마산합포구3.15대로 231,경상남도 마산의료원,대,128.46839109976136,35.13912944763056
경상남도,남해군,남해읍 화전로173-1,경상남도 남해군 남해읍 화전로173-1,남해군립 노인전문병원,정,127.89264974833284,34.84666074228915
경상북도,경주시,현곡면 충현로 610-120,경상북도 경주시 현곡면 충현로 610-120,경주시립 노인전문요양병원,정,129.16653006808724,35.876411430713475
경상북도,안동시,태사2길 55,경상북도 안동시 태사2길 55,경상북도 안동의료원,정,128.73171049757525,36.5679407463218
경상북도,안동시,남후면 남일로 1463,경상북도 안동시 남후면 남일로 1463,경상북도립 안동노인전문요양병원,정,128.6891153104821,36.5228407698582
경상북도,문경시,문경읍 여우목로 31,경상북도 문경시 문경읍 여우목로 31,시립문경요양병원,정,128.1116831911379,36.73182804300802
경상북도,영주시,안정면 장안로 697,경상북도 영주시 안정면 장안로 697,영주시립노인전문요양병원,정,128.5649101480927,36.830156712482555
경상북도,포항시,북구 용흥로 36,경상북도 포항시 북구 용흥로 36,경상북도포항노인전문요양병원,정,129.3545665756366,36.03516548686979
경상북도,상주시,용마로 190-45(도남동),경상북도 상주시 용마로 190-45(도남동),상주시립 노인요양병원,정,128.24306400021425,36.43678452437118
경상북도,의성군,의성읍 안평의성로 1122-30,경상북도 의성군 의성읍 안평의성로 1122-30,의성군공립요양병원,정,128.6809771612682,36.35966886134296
경상북도,김천시,어모면 신애길 100-10,경상북도 김천시 어모면 신애길 100-10,경상북도립김천노인전문요양병원,정,128.05238091653143,36.211246770391455
경상북도,고령군,대가야읍 중앙로 31,경상북도 고령군 대가야읍 중앙로 31,고령군립요양병원,정,128.27195742724336,35.73028664886301
경상북도,구미시,야은로 37-1,경상북도 구미시 야은로 37-1,구미시립 노인요양병원,정,128.29025038392274,36.153165848021665
경상북도,경산시,경안로 23-10,경상북도 경산시 경안로 23-10,경상북도립 경산노인전문요양병원,정,128.73921410317152,35.8093513182666
경상북도,울진군,울진읍 현내항길 71,경상북도 울진군 울진읍 현내항길 71,울진군의료원요양병원,정,129.41016402833444,36.99216042895842
경기도,안산시,상록구 구룡로 87(일동),경기도 안산시 상록구 구룡로 87(일동),근로복지공단 안산병원,정,126.87496045776336,37.316088101175005
인천광역시,부평구,무네미로 446(구산동),인천광역시 부평구 무네미로 446(구산동),근로복지공단 인천병원,정,126.75409640821447,37.4758385738503
경상북도,청도군,화양읍 청화로 79-7,경상북도 청도군 화양읍 청화로 79-7,군립청도노인요양병원,정,128.73680627067017,35.6486301890237
경상북도,울릉군,울릉읍 울릉순환로 396-18,경상북도 울릉군 울릉읍 울릉순환로 396-18,울릉군 노인요양병원,정,130.89883520128174,37.48589412635788
대구광역시,북구,학정로 515(학정동),대구광역시 북구 학정로 515(학정동),근로복지공단 대구병원,정,128.5640153332732,35.95082623498492
경상북도,칠곡군,왜관읍 금남5길 58,경상북도 칠곡군 왜관읍 금남5길 58,칠곡군립노인요양병원,정,128.4123474705104,35.92556896817527
강원도,정선군,정선읍 봉양1길 145(봉양4리),강원도 정선군 정선읍 봉양1길 145(봉양4리),근로복지공단 정선병원,정,128.6591553593314,37.382787489355586
경상북도,봉화군,봉화읍 보밑길 9,경상북도 봉화군 봉화읍 보밑길 9,봉화군립노인전문요양병원,정,128.7337785929773,36.89174059939995
대전광역시,대덕구,계족로 637(법동),대전광역시 대덕구 계족로 637(법동),근로복지공단 대전병원,정,127.42811707437205,36.36926605259734
경상남도,창원시,성산구 창원대로 721(중앙동),경상남도 창원시 성산구 창원대로 721(중앙동),근로복지공단 창원병원,정,128.67162359407584,35.21851730863637
광주광역시,광산구,삼도로 84-3(삼거동),광주광역시 광산구 삼도로 84-3(삼거동),광주시립제1요양병원,정,126.66710043517502,35.162294004489745
전라남도,순천시,조례 1길 24(조례동),전라남도 순천시 조례 1길 24(조례동),근로복지공단 순천병원,정,127.5251899248384,34.961892538893736
경기도,화성시,우정읍 쌍봉로 465-4(화수리),경기도 화성시 우정읍 쌍봉로 465-4(화수리),근로복지공단 경기요양병원,정,126.7958023493725,37.11454030141003
광주광역시,북구,하서로 590(본촌동),광주광역시 북구 하서로 590(본촌동),호남권역재활병원,정,126.88403010019641,35.22541071957414
강원도,태백시,보드미길8(장성동),강원도 태백시 보드미길8(장성동),근로복지공단 태백병원,정,129.00347343043248,37.10425731902284
강원도,동해시,하평로 11(평릉동),강원도 동해시 하평로 11(평릉동),근로복지공단 동해병원,정,129.1053020173935,37.53169398331252
강원도,강릉시,죽헌로 7,강원도 강릉시 죽헌로 7,강릉원주대학교치과병원,대,128.86983911982907,37.78202995957674
대구광역시,중구,달구벌대로 2175번지,대구광역시 중구 달구벌대로 2175번지,경북대학교치과병원,정,128.60139350345224,35.863898181220094
광주광역시,남구,덕남길 100,광주광역시 남구 덕남길 100,광주시립제2요양병원,정,126.89764984021039,35.09388375441645
강원도,춘천시,백령로 156,강원도 춘천시 백령로 156,강원대학교병원,정,127.74393330856688,37.87434587471677
광주광역시,광산구,삼도로 84-3(삼거동),광주광역시 광산구 삼도로 84-3(삼거동),광주시립정신병원,정,126.66710043517502,35.162294004489745
대구광역시,북구,호국로 807,대구광역시 북구 호국로 807,칠곡경북대학교병원,정,128.56440633563403,35.956746870064
부산광역시,서구,구덕로 179,부산광역시 서구 구덕로 179,부산대학교병원,정,129.0188451368503,35.100794720670834
경상남도,양산시,물금읍 금오로 20,경상남도 양산시 물금읍 금오로 20,부산대학교한방병원,정,129.00561716784043,35.327895137453424
대구광역시,중구,동덕로 130,대구광역시 중구 동덕로 130,경북대학교병원,정,128.6047376119888,35.86551913578536
제주특별자치도,제주시,아란13길 15(아라일동),제주특별자치도 제주시 아란13길 15(아라일동),제주대학교병원,정,126.54520066247917,33.46720906633055
대전광역시,중구,문화로 282,대전광역시 중구 문화로 282,충남대학교병원,정,127.41546962876423,36.31612807643724
전라북도,전주시,덕진구 건지로 20,전라북도 전주시 덕진구 건지로 20,전북대학교병원,정,127.1372340229785,35.84783087406626
경상남도,창원시,성산구 삼정자로 11,경상남도 창원시 성산구 삼정자로 11,창원경상대학교병원,정,128.70598724406136,35.19906043658047
광주광역시,동구,제봉로 42,광주광역시 동구 제봉로 42,전남대학교병원,정,126.92209147845719,35.14238401249734
경상남도,양산시,물금읍 금오로 20,경상남도 양산시 물금읍 금오로 20,양산부산대학교병원,정,129.00561716784043,35.327895137453424
충청북도,청주시,서원구 1순환로 776 충북대학교병원,충청북도 청주시 서원구 1순환로 776 충북대학교병원,충북대학교병원,정,127.4615812488136,36.62416715907525
경기도,성남시,분당구 구미로 173번길 82,경기도 성남시 분당구 구미로 173번길 82,분당서울대학교병원,정,127.12320999926908,37.35195863814387
서울특별시,종로구,대학로 101,서울특별시 종로구 대학로 101,서울대학교병원,정,126.99835383315136,37.578547479920125
경상남도,진주시,강남로 79 경상대학교병원,경상남도 진주시 강남로 79 경상대학교병원,경상대학교병원,정,128.09611863909285,35.17662095730937
광주광역시,남구,덕남길 80,광주광역시 남구 덕남길 80,빛고을전남대학교병원,정,126.89619806597808,35.09419303480022
전라북도,전주시,덕진구 건지로 20,전라북도 전주시 덕진구 건지로 20,전북대학교 치과병원,정,127.1372340229785,35.84783087406626
경상남도,양산시,물금읍 금오로 20,경상남도 양산시 물금읍 금오로 20,부산대학교치과병원,정,129.00561716784043,35.327895137453424
광주광역시,광산구,첨단월봉로 99,광주광역시 광산구 첨단월봉로 99,한국보훈복지의료공단 대구보훈병원,정,126.84809381738287,35.20803356699697
부산광역시,사상구,백양대로 420,부산광역시 사상구 백양대로 420,한국보훈복지의료공단 부산보훈병원,정,129.0077945806234,35.15385770624443
서울특별시,종로구,대학로 101,서울특별시 종로구 대학로 101,서울대학교치과병원,정,126.99835383315136,37.578547479920125
부산광역시,해운대구,세실로186,부산광역시 해운대구 세실로186,국군부산병원,유,129.17668809255755,35.18039745720161
서울특별시,강동구,진황도로 61길 53,서울특별시 강동구 진황도로 61길 53,한국보훈복지의료공단 중앙보훈병원,정,127.14720614579596,37.52818853622158
대구광역시,달서구,월곡로 60,대구광역시 달서구 월곡로 60,광주보훈병원,정,128.55171210620003,35.802829197638665
광주광역시,북구,용봉로 33,광주광역시 북구 용봉로 33,전남대학교치과병원,정,126.90053465673395,35.17189395182275
경기도,포천시,화현면 화동로 564,경기도 포천시 화현면 화동로 564,국군일동병원,정,127.310361382707,37.91597797677663
대전광역시,대덕구,대청로 82번길 147,대전광역시 대덕구 대청로 82번길 147,대전보훈병원,정,127.4396937373373,36.44731633387456
전라남도,화순군,화순읍 서양로 322,전라남도 화순군 화순읍 서양로 322,화순전남대학교병원,정,127.00321914426334,35.06107611898164
강원도,원주시,소초면 북원로 3223번지,강원도 원주시 소초면 북원로 3223번지,국군원주의원,유,127.96631646006428,37.42656104926311
경기도,성남시,분당구 새마을로 177번길 81,경기도 성남시 분당구 새마을로 177번길 81,국군수도병원,유,127.15091056753339,37.38950866690928
경기도,양주시,은현면 화합로 1133,경기도 양주시 은현면 화합로 1133,국군양주병원,유,127.04115555441986,37.85136022734331
강원도,춘천시,방고개길 57번,강원도 춘천시 방고개길 57번,국군춘천병원,유,127.7297481993441,37.93822629226092
경기도,고양시,덕양구 혜음로 215,경기도 고양시 덕양구 혜음로 215,국군고양병원,정,126.89809652613438,37.71938053072631
서울특별시,종로구,삼청로10길 13,서울특별시 종로구 삼청로10길 13,서울지구병원,유,126.98200921613825,37.587867997160075
경기도,가평군,청평면 경춘로 926,경기도 가평군 청평면 경춘로 926,국군청평병원,유,127.42696838639397,37.74569181683995
강원도,홍천군,두촌면 아홉사리로 43,강원도 홍천군 두촌면 아홉사리로 43,국군홍천병원,정,127.99646405172108,37.804185492062366
대구광역시,서구,평리로 157,대구광역시 서구 평리로 157,대구의료원,정,128.53854215123826,35.8596760638563
경상북도,경산시,하양읍 은호리 대경로 425-41,경상북도 경산시 하양읍 은호리 대경로 425-41,국군대구병원,정,128.78834738817127,35.90088328633161
충청북도,청원군,남일면 단재로 635 사서함 335-21호,충청북도 청원군 남일면 단재로 635 사서함 335-21호,공군항공우주의료원,대,127.50921842771814,36.71256004063435
대전광역시,유성구,자운로 90,대전광역시 유성구 자운로 90,국군대전병원,유,127.34692456139224,36.39842460756805
강원도,강릉시,주문진읍 동해대로 4371-34,강원도 강릉시 주문진읍 동해대로 4371-34,국군강릉병원,정,128.83097465958204,37.86881345253765
경상남도,창원시,진해구 진해대로 963해군해양의료원,경상남도 창원시 진해구 진해대로 963해군해양의료원,해군해양의료원,유,128.70688856685328,35.143746903549946
충청남도,논산시,"연무읍 득안대로 450-8, 사서함76-16호","충청남도 논산시 연무읍 득안대로 450-8, 사서함76-16호",육군훈련소 지구병원,정,127.09965665993236,36.110894883935245
전라남도,함평군,해보면 신해로 1027,전라남도 함평군 해보면 신해로 1027,국군함평병원,정,126.58884136330556,35.181350317687006
